	大写	小写	英文注音	国际音标注音	中文注音
0	Α	α	alpha	alfa	阿耳法
1	Β	β	beta	beta	贝塔
2	Γ	γ	gamma	gamma	伽马
3	Δ	δ	deta	delta	德耳塔
4	Ε	ε	epsilon	epsilon	艾普西隆
5	Ζ	ζ	zeta	zeta	截塔
6	Η	η	eta	eta	艾塔
7	Θ	θ	theta	θita	西塔
8	Ι	ι	iota	iota	约塔
9	Κ	κ	kappa	kappa	卡帕
10	∧	λ	lambda	lambda	兰姆达
11	Μ	μ	mu	miu	缪
12	Ν	ν	nu	niu	纽
13	Ξ	ξ	xi	ksi	可塞
14	Ο	ο	omicron	omikron	奥密可戎
15	∏	π	pi	pai	派
16	Ρ	ρ	rho	rou	柔
17	∑	σ	sigma	sigma	西格马
18	Τ	τ	tau	tau	套
19	Υ	υ	upsilon	jupsilon	衣普西隆
20	Φ	φ	phi	fai	斐
21	Χ	χ	chi	khai	喜
22	Ψ	ψ	psi	psai	普西
23	Ω	ω	omega	omiga	欧米伽
